Kategorie;Anzahl;Zeitung
Kategorie 1;14;RP
Kategorie 2;6;RP
Kategorie 3;1;RP
Kategorie 4;3;RP
Kategorie 5;6;RP
Kategorie 6;0;RP
Kategorie 7;14;RP
Sonstige;9;RP
Kategorie 1;4;Tagesspiegel
Kategorie 2;9;Tagesspiegel
Kategorie 3;13;Tagesspiegel
Kategorie 4;17;Tagesspiegel
Kategorie 5;21;Tagesspiegel
Kategorie 6;9;Tagesspiegel
Kategorie 7;4;Tagesspiegel
Sonstige;16;Tagesspiegel
Kategorie 1;1;Welt
Kategorie 2;0;Welt
Kategorie 3;0;Welt
Kategorie 4;5;Welt
Kategorie 5;14;Welt
Kategorie 6;0;Welt
Kategorie 7;35;Welt
Sonstige;10;Welt
Kategorie 1;0;Spiegel
Kategorie 2;4;Spiegel
Kategorie 3;4;Spiegel
Kategorie 4;12;Spiegel
Kategorie 5;12;Spiegel
Kategorie 6;5;Spiegel
Kategorie 7;5;Spiegel
Sonstige;13;Spiegel
Kategorie 1;5;Zeit
Kategorie 2;4;Zeit
Kategorie 3;13;Zeit
Kategorie 4;6;Zeit
Kategorie 5;27;Zeit
Kategorie 6;6;Zeit
Kategorie 7;14;Zeit
Sonstige;12;Zeit
