Zeitung;RP;Tagesspiegel;Welt;Spiegel;Zeit
Artikel;Sprachwissenschaftler laufen Sturm gegen Gendern bei ARD und ZDF;Gendern macht die Diskriminierung nur noch schlimmer;Gendern – das erinnert mich inzwischen an einen Fleischwolf;Gendern polarisiert auch in der jungen Generation;Die Sprache als Fahne
Link;https://rp-online.de/kultur/stilfrage/gendern-sprachwissenschaftler-laufen-sturm-gegen-ard-und-zdf_aid-73928221;https://www.tagesspiegel.de/kultur/deutschland-ist-besessen-von-genitalien-gendern-macht-die-diskriminierung-nur-noch-schlimmer/26140402.html;https://www.welt.de/debatte/kommentare/article227000843/Sprache-Gendern-das-erinnert-mich-inzwischen-an-einen-Fleischwolf.html;https://www.spiegel.de/kultur/gendern-als-stolperfalle-gendern-polarisiert-auch-in-der-jungen-generation-a-2608c97f-9aeb-4859-b173-0d1a7a91e3d4;https://www.zeit.de/gesellschaft/2021-06/gendern-sprache-grammatik-deutschland-amerika-dichtung-gesellschaft
Erscheinungsdatum;08.01.22;08.30.20;02.24.21;02.17.22;06.03.21
Zugriffsdatum;08.18.22;08.18.22;08.23.22;08.23.22;08.23.22
Anzahl der Kommentare;157;155;504;1200;936
Wie ist Einstellung im Artikel;neutral, sachlich;gegen das Gendern, da zu sehr Fokus auf Geschlecht, ist selbst sexistisch;gegen Gendern, Angst, drängt Frauen in Opferrolle;neutral, sachlich;schadet nicht, aber Vorschrift auch keine Lösung, Sprache als Fahne
Verfasser*in :Kommentar;Nthweiden : Mit der strikten Anwendung der „Gendersprache“ werden Minderheiten nicht geschützt, sondern in die Öffentlichkeit gezerrt, ohne dass sie sich wehren können! Hiermit wird Ideologen mehr Raum gegeben, als ihnen zusteht!;"yarramalong : Ich bin Mitglied in einem Segelverein. Solche Clubs waren früher sehr maskulin. Man segelte einst in weißen Hosen und blauem Zweireiher. Die Welt hat sich mittlerweile gedreht. Wir haben zwar immer noch einen Frauenwart,  aber nur weil manche Wettbewerbe Frauen und Männer getrennt bewerten. Niemand hat sich aber jemals Gedanken darüber gemacht, ob der Frauenwart männlich oder weiblich ist. Ebenso wenig fragt man sich, ob unser Hafenmeister (jeden Monat wechselnd) einen Bart hat oder eher nicht. 

Wäre irgend jemand daran interessiert, müssten wir das Schild an der Hafenmeisterwohnung erneuern und ""Hafenmeisterinnenwohnung"" darauf schreiben. Außenstehende verstehen das zuweilen nicht. Als eines Tages die Person im Amt, eine junge blonde Frau, auf der Terrasse saß, wurde ich gefragt, wo der Hafenmeister sei. Ich zeigte dem Besucher die gefragte Person. Dieser stellte ihr die Frage erneut. Daraufhin frotzelte die junge Dame ""Du glaubt wohl, der Hafenmeister hat eine Schifferfräse und raucht eine Maiskolbenpfeife?"" Das hat gesessen.";Tobias G. : Die Gefahr liegt denke ich in Folgendem: In der real existierenden Demokratie (die anders funktioniert als die idealisierte Vorstellung, die z.B. im Grundgesetz propagiert wird) geht die Herrschaft real von einer „elitären“ Gruppe von Entscheidern und Narrativsetzern aus, die durch die Wahl eine Legitimation erhalten, die sie auf meritokratischem Weg nie erhalten würden. Jedoch werden in der Verfassung einige reale Machtfaktoren nicht berücksichtigt. In erster Linie Universitäten und Medien, die kaum einer staatlichen Kontrolle unterstehen. Das heißt, dass der politische Angriff auf das bisherige System von dort kommt. Die autoritäre Linke möchte herrschen und zwar indem sie den vom bisherigen Establishment vorgegebenen Staatskult (Liberalismus, Egalitarismus, Feminismus) konsequent zu seinem ideologischen Ende führen. Dazu müssen sie die neuen Eliten ideologisch indoktrinieren (z.B. die linksextreme Verfassungsrichterin in MeckPom). Weil unsere Verfassung in vielen Bereichen zur Interpretation steht, ist sie sehr vom Zeitgeist abhängig, darum wird die Nichtbenutzung der Gendersprache in einigen Jahren auch ein offener Affront sein. Wehret den Anfängen!;"Hugo-Z-3I9XP7g : Hmm..
Beim Gendern geht es also in erster Linie um Frauen? Ich dachte, der Stern, Unterstrich oder was auch immer solle gerade alle möglichen anderen Geschlechtsidentitäten als inkludiert ausdrücken.
Und nun ist es nur eine Art trojanisches Pferd im alten, feministischen Kampf gegen das generische Maskulinum?
Dann können wir doch einfach und verständlich BEIDE Genera benutzen, wo es nötig ist. Ohne Hicksen und sonstiges.";"hembke : 

Eigentlich müsste es von allen Personenbezeichnungen eine männliche, weibliche und neutrale/allgemeine Form geben.
Die Grundform - meist gleich der heutigen männlichen, weil sie schlicht kürzer ist - hätte die bisherige (übliche) Endung:
Lehrer - Arzt - Pilot
Die männliche bekäme ein (weiteres) -er:
Lehrerer - Arzter (oder Ärzter) - Piloter
Die weibliche bliebe wie gehabt:
Lehrerin - Ärztin - Pilotin.

Es würde also vieles gehen:
Er ist Arzt oder Arzter.
Sie ist Arzt oder Ärztin.
Beide sind Ärzte.

Alle Lehrer sind Menschen.
Alle Lehrerer sind Männer.
Alle Lehrerinnen sind Frauen.

Ganz sicher würde sich dann irgendwann die neutrale Form als gebräuchlichste durchsetzen.
Die geschlechtsspezifischen würde man nur noch nutzen, wenn man eindeutig und ausschließlich Angehörige eines Geschlechts meint.
"
;Pragmatiker: Minderheiten? Sorry, ich kann Ihnen nicht so wirklich folgen...;;;;
;-> Winterwind : Von welcher Minderheit sprechen Sie? Frauen bilden in Deutschland die Mehrheit. Dass Sie da einen anderen Eindruck haben, ist eher ein Argument für das Gendern (These). Denn offensichtlich müssen Frauen sichtbarer gemacht werden, damit man sie nicht mehr fälschlich für eine Minderheit hält. :;samtripp : Ja, ich stimme diesem Artikel zu 100% zu.;"Dietmar B. : Frank M schreibt: ""Es sollten sich immer mehr wehren; wir tun dies mit E-Mails an Duden und ARD/ZDF u.a. und entsprechenden Kommentaren und Kritiken.""

Gut so! Ich möchte hierzu einen weiteren Vorschlag machen. Sollte er in den 504 Kommentaren, die ich nicht leider nicht alle  :)  lesen konnte, bereits formuliert worden sein - dann wiederhole ich ihn eben.

Auch wir Verbraucher haben Macht. Viele von uns unterstützen Organisationen, die eine wertvolle Arbeit für die Gesellschaft leisten, mit monatlichen oder jährlichen Beiträgen. Ich engagiere mich im Umweltschutz und habe jetzt bei einer dieser Organisationen meinen Mitgliedsbeitrag um 20 Euro gekürzt - nach einem langen, von gegenseitigem Respekt getragenen Meinungsaustausch via Email (der selbstverständlich privat bleiben wird). Angesichts des freundlichen Umgangstons tut der harte Schnitt schon etwas weh -, aber das Gendern betrachte ich als eine von mir nicht autorisierte Einmischung in meine Lesegewohnheiten. Frau Hümpels Artikel unterstütze ich uneingeschränkt.

Die ""Gendergebühr"" von 20 Euro wird für die Dauer des Genderns erhoben. Sie entfällt, sobald die Institution auf das Gendern verzichtet, so wie es - gemäß der WELT-Umfrage (Artikel vom 31. 5. 2020) - die Mehrheit der Befragten verlangt. Das ""ersparte"" Geld wird nicht etwa im Café verjubelt, sondern geht als Sonderspende an den Verein Deutsche Sprache. 

Der Umgang mit ""uralten"" Daueraufträgen (Mist, wo sind die Daten?) und die manuelle Überweisung der Spende ist zwar etwas mühsam. Aber welcher Kampf ist schon bequem?";"Jana-csinhHY7R : Gendern diskriminiert und grenzt Millionen Menschen aus bzw. erschwert enorm deren Teilhabe (Menschen mit Lese-Rechtschreibschwäche, Blinde, Menschen aus bildungsfernen Kreisen, Hörbehinderte, Menschen die die deutsche Sprache lernen, Migranten). Gendern will ständig auf das Geschlecht hinweisen, auch dort, wo es überhaupt keine Rolle spielt. Gendern führt auch für den Durchschnittsleser zu erschwertem bzw. langsameren Textverständnis. Es werden Berufe wie Arzt oder Apotheker gegendert mit dem Ziel, Frauen sichtbarer zu machen. Dabei studieren heute schon mehr Frauen als Männer Medizin und Pharmazie. In der DDR wurde bei vielen Berufen auf die Endung -in verzichtet. Frauen waren ganz selbstverständlich Schichtleiter, Ingenieur, Lehrer. Obwohl es kein Gendern gab waren über 90% der Frauen berufstätig und oft auch in technischen Berufen. Die türkische Sprache ist ""von Haus"" aus absolut genderneutral. Die Stellung der Frau ist trotzdem nicht gerade fortschrittlich. In unseren gesellschaftlichen Debatten orientieren wir uns oft an Skandinavien. Beispiel zum Gendern: In Norwegen gibt es für Lehrer/Lehrerin die Wörter laerer / laererinne. Laererinne ist veraltet und wird kaum noch verwendet. Laerer sind einfach alle - egal ob m/w/d. Vielleicht sollten wir auch öfter mal die Endung -in weglassen. Ich als Frau kann jedenfalls der sprachlichen Trennung in Geschlechter absolut nichts abgewinnen. Ich bin selbstbewusst genug und fühle mich beim generischen Maskulinum in keiner Form ausgeschlossen oder unsichtbar.";"GerhardSamulat : 

Zwei, drei Anmerkungen zum Beitrag:

a) Warum wird beim Genderstern - wie auch im Beitrag zu lesen - so oft die Verniedlichungsform Genderstern""chen"" genutzt? An und für sich ist das ja despektierlich den angesprochenen Menschen gegenüber, oder zeigt zumindest, dass man diese Personen nicht ganz für voll nimmt!

b) In Anbetracht der Erfahrungen aus der jüngsten deutschen Geschichte widerstrebt es mir massiv, eine wie auch immer geartete Menschengruppe mit einem Stern kennzeichnen zu sollen/wollen. Da gibt es sicherlich bessere Alternativen.

c) Falls man wirklich ein ""Kürzel"" für die gendergerechte Sprache ins Auge fasst - was eigentlich nur selten notwendig ist, weil man mit etwas Phantasie auch so gendergerecht formulieren kann - dann würde ich mich für eine Weiterentwicklung des Binnen-I zu einem Gender-I aussprechen, wobei das I für „Identität“, „Integration“ respektive „Inklusion“ stehen soll. Diese Interpretation ist allerdings sehr neu und hat sich noch nicht herumgesprochen.

Ansonsten: Schöner Artikel!
"
;patric.kretschmar.911 : Derartige Beiträge kenne ich schon länger. Auch hinsichtlich der Aufklärung über das weitverbreitete Missverständnis hinsichtlich der Verwendung unserer Artikel. Genutzt hat das bisher nichts und es wird wohl auch weiterhin nichts nützen. Während Erdogan beklagt die Türkei sei von der Gülen-Bewegung unterwandert worden, ist D, aus meiner ganz persönlichen Sicht, von linken Aktivisten unterwandert worden. Ob in den Medien, insbesondere beim ÖRR, aber auch vielen anderen oder auch im Bildungswesen, ob Schule oder Uni. Das sieht man sowohl an der Atomkraft, als auch am Genedern. Es gibt ja eine Studie, die belegt, dass uns vor allem die Medien aus der Atomkraft geschrieben haben, den Ausstieg faktisch regelrecht erzwungen haben. Und sie werden uns auch das Gendern aufzwingen. ;;;;"-> Ragnhild Haas: 

Lieber Gerhard Samulat,

Sternchen ist keine despektierliche Verniedlichungsform. (rot)

Sterne sind (z.B.) am Himmel (ein massereicher, selbstleuchtender Himmelskörper), das Sternchen dagegen ist ein sternförmiges Symbol. Das sollten wir nicht durcheinander bekommen. (gelb)

Sie sehen auch eine mögliche Parallele bei der Verwendung des Sternchens zu dem Judenstern des 3. Reiches (so habe ich das zumindest verstanden). Eine Menschgruppe würde so mit einem Stern gekennzeichnet.

Es tut mir leid, zu solchen Gedankengängen fehlt mir tatsächlich die von Ihnen angesprochene Phantasie. Ich dachte immer, irgendwo fände der allgemeine Irrsinn eine natürliche Grenze, aber anscheinend ist dem nicht so. (rot)

Ich empfehle folgenden Artikel in der Neue Züricher Zeitung:
""Sprachen wandeln sich immer – aber nie in Richtung Unfug"". (gelb?)
"
