ID,Date,Geschlecht,Alter,Frage,Antwort,Altersgruppe,Kategorie,FrageNummer
117,01.11.2022,Mann,18.0,3,4.0,18-25,1,1
57,15.10.2022,Frau,21.0,3,3.0,18-25,1,1
68,15.10.2022,Mann,21.0,3,5.0,18-25,1,1
80,16.10.2022,Frau,21.0,3,2.0,18-25,1,1
81,16.10.2022,Frau,21.0,3,3.0,18-25,1,1
79,16.10.2022,Mann,23.0,3,2.0,18-25,1,1
82,16.10.2022,Frau,23.0,3,1.0,18-25,1,1
89,16.10.2022,Mann,23.0,3,1.0,18-25,1,1
114,28.10.2022,Frau,23.0,3,1.0,18-25,1,1
115,28.10.2022,Frau,23.0,3,1.0,18-25,1,1
74,15.10.2022,Frau,24.0,3,,18-25,1,1
78,16.10.2022,Frau,24.0,3,1.0,18-25,1,1
83,16.10.2022,Frau,24.0,3,1.0,18-25,1,1
85,16.10.2022,Mann,24.0,3,5.0,18-25,1,1
90,17.10.2022,Frau,24.0,3,1.0,18-25,1,1
75,16.10.2022,Mann,25.0,3,4.0,18-25,1,1
97,25.10.2022,Frau,25.0,3,2.0,18-25,1,1
113,27.10.2022,Frau,25.0,3,2.0,18-25,1,1
77,16.10.2022,Mann,26.0,3,5.0,26-35,1,1
96,25.10.2022,Mann,26.0,3,2.0,26-35,1,1
76,16.10.2022,Mann,27.0,3,2.0,26-35,1,1
86,16.10.2022,Frau,28.0,3,1.0,26-35,1,1
87,16.10.2022,Mann,28.0,3,1.0,26-35,1,1
88,16.10.2022,Mann,28.0,3,2.0,26-35,1,1
91,18.10.2022,Frau,28.0,3,1.0,26-35,1,1
92,21.10.2022,Mann,28.0,3,5.0,26-35,1,1
94,25.10.2022,Mann,28.0,3,1.0,26-35,1,1
102,25.10.2022,Mann,28.0,3,4.0,26-35,1,1
105,25.10.2022,Mann,28.0,3,2.0,26-35,1,1
112,26.10.2022,Mann,28.0,3,4.0,26-35,1,1
116,29.10.2022,Mann,28.0,3,1.0,26-35,1,1
103,25.10.2022,Frau,29.0,3,2.0,26-35,1,1
106,25.10.2022,Mann,29.0,3,1.0,26-35,1,1
109,26.10.2022,Mann,29.0,3,1.0,26-35,1,1
110,26.10.2022,Mann,29.0,3,5.0,26-35,1,1
62,15.10.2022,Frau,32.0,3,1.0,26-35,1,1
64,15.10.2022,Frau,32.0,3,,26-35,1,1
100,25.10.2022,Frau,35.0,3,3.0,26-35,1,1
108,25.10.2022,Frau,35.0,3,1.0,26-35,1,1
73,15.10.2022,Mann,37.0,3,,36-45,1,1
65,15.10.2022,Frau,41.0,3,2.0,36-45,1,1
70,15.10.2022,Frau,41.0,3,1.0,36-45,1,1
60,15.10.2022,Frau,47.0,3,2.0,46-55,1,1
61,15.10.2022,Mann,47.0,3,5.0,46-55,1,1
63,15.10.2022,Mann,50.0,3,5.0,46-55,1,1
98,25.10.2022,Mann,50.0,3,4.0,46-55,1,1
93,21.10.2022,Frau,52.0,3,1.0,46-55,1,1
56,15.10.2022,Frau,53.0,3,2.0,46-55,1,1
67,15.10.2022,Mann,54.0,3,1.0,46-55,1,1
84,16.10.2022,,54.0,3,4.0,46-55,1,1
59,15.10.2022,Mann,55.0,3,4.0,46-55,1,1
71,15.10.2022,Mann,55.0,3,2.0,46-55,1,1
55,15.10.2022,Frau,56.0,3,3.0,56-65,1,1
58,15.10.2022,Mann,56.0,3,5.0,56-65,1,1
69,15.10.2022,Frau,56.0,3,2.0,56-65,1,1
118,11.11.2022,Frau,58.0,3,4.0,56-65,1,1
66,15.10.2022,Frau,62.0,3,5.0,56-65,1,1
95,25.10.2022,Frau,67.0,3,2.0,66-75,1,1
